$ [qin_kol001_seg002_sub002] [2015 - 2048],
$ [qin_kol001_seg002_sub002],
JDAY,Q (M3/S)
1782,0.0734
1783,0.0718
1784,0.0718
1785,0.0702
1786,0.0702
1787,0.0686
1788,0.0686
1789,0.067
1790,0.067
1791,0.0654
1792,0.0654
1793,0.0638
1794,0.0638
1795,0.0622
1796,0.0622
1797,0.0622
1798,0.0606
1799,0.0606
1800,0.059
1801,0.059
1802,0.059
1803,0.0574
1804,0.067
1805,0.0574
1806,0.0558
1807,0.0558
1808,0.0558
1809,0.0543
1810,0.0543
1811,0.0543
1812,0.0527
1813,0.0527
1814,0.0527
1815,0.0511
1816,0.0511
1817,0.0511
1818,0.0495
1819,0.0495
1820,0.0495
1821,0.0574
1822,0.059
1823,0.0479
1824,0.0479
1825,0.0479
1826,0.0463
1827,0.0463
1828,0.0463
1829,0.0463
1830,0.0447
1831,0.0447
1832,0.0447
1833,0.0447
1834,0.1723
1835,0.2457
1836,0.2425
1837,0.2377
1838,0.2393
1839,0.3462
1840,0.3399
1841,0.3351
1842,0.3303
1843,0.3239
1844,0.3191
1845,0.3143
1846,0.3095
1847,0.3048
1848,0.3
1849,0.2952
1850,0.2904
1851,0.2856
1852,0.2856
