$ [qdt_kol001] [2015 - 2048],
$ [qdt_kol001],
JDAY,Q (M3/S)
1576,0.1226
1577,0.1205
1578,0.1185
1579,0.1165
1580,0.1145
1581,0.1125
1582,0.1107
1583,0.1088
1584,0.1069
1585,0.1052
1586,0.1033
1587,0.1015
1588,0.0999
1589,0.0981
1590,0.0965
1591,0.0948
1592,0.0932
1593,0.0917
1594,0.09
1595,0.0885
1596,0.0871
1597,0.0856
1598,0.0841
1599,0.0827
1600,0.0812
1601,0.08
1602,0.0785
1603,0.0773
1604,0.0759
1605,0.0746
1606,0.0734
1607,0.0721
1608,0.0708
1609,0.0696
1610,0.0685
1611,0.0673
1612,0.0661
1613,0.0651
1614,0.0639
1615,0.0628
1616,0.0618
1617,0.0607
1618,0.0597
1619,0.0587
1620,0.0577
1621,0.0567
1622,0.0557
1623,0.0547
1624,0.0538
1625,0.053
1626,0.0521
1627,0.0511
1628,0.0503
1629,0.0495
1630,0.0487
1631,0.0477
1632,0.047
1633,0.0462
1634,0.0454
1635,0.0446
1636,0.0438
1637,0.0431
1638,0.0423
1639,0.0416
1640,0.0409
1641,0.0402
1642,0.0395
1643,0.0389
1644,0.0382
1645,0.0376
1646,0.0369
1647,0.0363
1648,0.0356
1649,0.0351
1650,0.0345
1651,0.0339
1652,0.0333
1653,0.0327
1654,0.0322
1655,0.0317
1656,0.0311
1657,0.0306
1658,0.0301
1659,0.0295
1660,0.0291
1661,0.0286
1662,0.0281
1663,0.0276
1664,0.0271
1665,0.0267
1666,0.0263
1667,0.0258
1668,0.0253
1669,0.0249
1670,0.0245
1671,0.024
1672,0.0237
1673,0.0232
1674,0.0229
1675,0.0225
1676,0.022
1677,0.0217
1678,0.0213
1679,0.021
1680,0.0206
1681,0.0203
1682,0.0199
1683,0.0196
1684,0.0192
1685,0.0189
1686,0.0186
1687,0.0183
1688,0.0179
1689,0.0177
1690,0.0174
1691,0.0171
1692,0.0168
1693,0.0165
1694,0.0162
1695,0.0159
1696,0.0157
1697,0.0154
1698,0.0151
1699,0.0149
1700,0.0147
1701,0.0144
1702,0.0142
1703,0.014
1704,0.0137
1705,0.0135
1706,0.0132
1707,0.013
1708,0.0128
1709,0.0125
1710,0.0123
1711,0.0121
